name,code,lazada,shopee,type
Dunlop (ดันลอป),AppDUNLOP,https://s.lazada.co.th/s.Z2rmYE?cc,https://s.shopee.co.th/4Aun5IvrHN,sk-brands
Deestone (ดีสโตน),AppDEESTONE,https://s.lazada.co.th/s.Zhdeok,https://s.shopee.co.th/3LLg5rbz2D,sk-brands
Bridgestone (บริดจสโตน),AppBRIDGESTONE,https://s.lazada.co.th/s.Z2rNhV?cc,https://s.shopee.co.th/7fUfGBogX0,sk-brands
Goodyear (กู๊ดเยียร์),AppGOODYEAR,https://s.lazada.co.th/s.Z2rNMm?cc,https://s.shopee.co.th/5q3150jjhg,sk-brands
Yokohama (โยโกฮาม่า),AppYOKOHAMA,https://s.lazada.co.th/s.Z2IZSh?cc,https://s.shopee.co.th/2B66M9bY1K,sk-brands
Blackhawk (แบล็คฮอว์ก),AppBLACKHAWK,https://s.lazada.co.th/s.Z2IZ9b?cc,https://s.shopee.co.th/10u8y3RzTq,sk-brands
Dayton (เดย์ตัน),AppDAYTON,https://s.lazada.co.th/s.Z2IZoP?cc,https://s.shopee.co.th/9KYGQlj7q4,sk-brands
Hankook (แฮนคุก),AppHANKOOK,https://s.lazada.co.th/s.Z2IZrB?cc,https://s.shopee.co.th/5fey43NlYH,sk-brands
Goodride (กู๊ดไรด์),AppGOODRIDE,https://s.lazada.co.th/s.Z2IZvv?cc,https://s.shopee.co.th/1g8pIj6Ugy,sk-brands
Triangle (ไตรแองเกิล),AppTRIANGLE,https://s.lazada.co.th/s.Z2I0aq?cc,https://s.shopee.co.th/2LOW5yyxFy,sk-brands
Falken (ฟอลเกน),AppFALKEN,https://s.lazada.co.th/s.Z2I0X2?cc,https://s.shopee.co.th/gGI6wiyTC,sk-brands
Kumho (คึมโฮ),AppKUMHO,https://s.lazada.co.th/s.Z2I04b?cc,https://s.shopee.co.th/7fQ2Rq03ZX,sk-brands
Arisun (อาริซัน),AppARISUN,https://s.lazada.co.th/s.ZTRhfv,https://s.shopee.co.th/10bJlsPdI,sk-brands
Dcenti (ดีเซนติ),AppDCENTI,https://s.lazada.co.th/s.Z2IbS5?cc,https://s.shopee.co.th/3fttgXa4Su,sk-brands
Nexen (เน็กเซ็น),AppNEXEN,https://s.lazada.co.th/s.Z2IbPV?cc,https://s.shopee.co.th/AUoquMU6IU,sk-brands
BFGoodrich (บีเอฟกู๊ดริช),AppBFGoodrich,https://s.lazada.co.th/s.Z2Iboe?cc,https://s.shopee.co.th/3fttgbciXw,other-brands
NAZZ (แนสซ์),AppNAZZ,https://c.lazada.co.th/t/c.2lfGS5?sub_aff_id=D3P,https://s.shopee.co.th/4qAUA0jabm,other-brands
Michelin (มิชลิน),AppMICHELIN,https://s.lazada.co.th/s.zLT47?cc,https://s.shopee.co.th/5AihBJN3PE,other-brands
XCD2 ขอบ 14,AppXCD2_14,https://s.lazada.co.th/s.zLEqx?cc,https://s.shopee.co.th/70ALe7WZvr,other-brands
XCD2 ขอบ 15,AppXCD2_15,https://s.lazada.co.th/s.zLEHc?cc,https://s.shopee.co.th/50PHGYoQU5,other-brands
Sumaxx (ซูแมกซ์),SUMAXX,https://s.lazada.co.th/s.BllRP?cc,https://s.shopee.co.th/20kCIpMFIh,other-brands
Nitto (นิตโตะ),NITTO,https://s.lazada.co.th/s.BlljC?cc,https://s.shopee.co.th/5AhE4uIEUN,other-brands
Toyo (โตโย),TOYO,https://s.lazada.co.th/s.BllP2?cc,https://s.shopee.co.th/8Uxg36LFcx,other-brands
Landsail (แลนด์เซล),LANDSAIL,https://s.lazada.co.th/s.BllON?cc,https://s.shopee.co.th/50Nnsj72gx,other-brands
