size,brand,desc,lazada,shopee
195/55R16,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
205/55R16,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
215/55R17,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
215/60R17,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
225/45R17,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
215/55R18,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
225/55R19,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
235/45R19,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
235/55R19,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
245/45R19,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
235/50R20,Kumho,"KUMHO ECSTA PS71 EV (ลอขอบ 16, 17, 18, 19, 20) ราคา 1 เสน ยางใหมป 2023-2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhDjcn?c=a,https://s.shopee.co.th/6AiEiL8VUs
205/50R17,Kumho,"KUMHO SOLUS TA91 (ลอขอบ 17, 18, 19) ราคา 1 เสน ยางใหมป 2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhvE8I?c=a,https://s.shopee.co.th/LYJkYjGrz
225/45R17,Kumho,"KUMHO SOLUS TA91 (ลอขอบ 17, 18, 19) ราคา 1 เสน ยางใหมป 2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhvE8I?c=a,https://s.shopee.co.th/LYJkYjGrz
225/40R18,Kumho,"KUMHO SOLUS TA91 (ลอขอบ 17, 18, 19) ราคา 1 เสน ยางใหมป 2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhvE8I?c=a,https://s.shopee.co.th/LYJkYjGrz
225/45R18,Kumho,"KUMHO SOLUS TA91 (ลอขอบ 17, 18, 19) ราคา 1 เสน ยางใหมป 2024 เกบปลายทางได",https://s.lazada.co.th/s.ZhvE8I?c=a,https://s.shopee.co.th/LYJkYjGrz
